assembly_id_simp,Contig_number,assembly_id,assembly_name,organism_name,organism_name_breed,strain,cultivar,ecotype,isolate,annotation_name,seq_length,assembly_level,release_date,wgs_project,contig_n50,scaffold_n50,sequencing_tech,submitter,bioproject,biosample,genes,protein_coding_genes,pseudogenes,checkM_marker_set,checkM_completeness,checkM_contamination,genome_id,phylogroup,assembly_ID
GCA_008389275,91,GCA_008389275.1,ASM838927v1,Escherichia coli,NA,EC226_ST349C,NA,NA,NA,NCBI Prokaryotic Genome Annotation Pipeline (PGAP),4920847,Scaffold,2019-09-13T00:00:00Z,NA,243733,243733,Illumina HiSeq,Ausgem,PRJNA480723,SAMN10187595,4953,4713,138,Escherichia coli,99.1,0.43,GCA_008389275.1_ASM838927v1_genomic,D,NA
GCA_007012305,3,GCA_007012305.1,ASM701230v1,Escherichia coli,NA,ECOL-18-VL-LA-PA-Ryan-0026,NA,NA,NA,NCBI Prokaryotic Genome Annotation Pipeline (PGAP),5135313,Complete Genome,2019-07-16T00:00:00Z,NA,4857938,4857938,PacBio Sequel,Vet-LIRN-CVM-FDA,PRJNA324573,SAMN11230749,5044,4708,216,Escherichia coli,98.5,0.75,GCA_007012305.1_ASM701230v1_genomic,A,NA
GCA_008633505,185,GCA_008633505.1,ASM863350v1,Escherichia coli O145:H28,NA,12188,NA,NA,NA,"Annotation submitted by Department of Bacteriology, Faculty of Medical Sciences, Kyushu University",5388292,Scaffold,2019-09-18T00:00:00Z,NA,220552,220552,Illumina MiSeq,"Department of Bacteriology, Faculty of Medical Sciences, Kyushu University",PRJDB8147,SAMD00166595,5216,5116,NA,Escherichia coli,99.22,0.34,GCA_008633505.1_ASM863350v1_genomic,D,NA
GCA_006236915,201,GCA_006236915.1,ASM623691v1,Escherichia coli,NA,LVEASB20,NA,NA,NA,NA,4821230,Scaffold,2019-06-11T00:00:00Z,NA,51353,153702,HiSeq2500 Rapid Run,University of Tartu,PRJNA528606,SAMN11232797,NA,NA,NA,Escherichia coli,97.66,0.62,GCA_006236915.1_ASM623691v1_genomic,A,NA
GCA_008633545,229,GCA_008633545.1,ASM863354v1,Escherichia coli O145:H28,NA,1649,NA,NA,NA,"Annotation submitted by Department of Bacteriology, Faculty of Medical Sciences, Kyushu University",5454299,Scaffold,2019-09-18T00:00:00Z,NA,176472,192726,Illumina MiSeq,"Department of Bacteriology, Faculty of Medical Sciences, Kyushu University",PRJDB8147,SAMD00166597,5277,5180,NA,Escherichia coli,99.22,0.36,GCA_008633545.1_ASM863354v1_genomic,D,NA
GCA_006231415,88,GCA_006231415.1,ASM623141v1,Escherichia coli,NA,EELTKB290,NA,NA,NA,NA,5000267,Scaffold,2019-06-11T00:00:00Z,NA,84537,202763,HiSeq2500 Rapid Run,University of Tartu,PRJNA528606,SAMN11232678,NA,NA,NA,Escherichia coli,99.16,0.58,GCA_006231415.1_ASM623141v1_genomic,B2,NA
GCA_006231235,146,GCA_006231235.1,ASM623123v1,Escherichia coli,NA,RUSPBB171,NA,NA,NA,NA,5328237,Scaffold,2019-06-11T00:00:00Z,NA,66784,162496,HiSeq2500 Rapid Run,University of Tartu,PRJNA528606,SAMN11233002,NA,NA,NA,Escherichia coli,99.12,0.71,GCA_006231235.1_ASM623123v1_genomic,D,NA
GCA_009761195,173,GCA_009761195.1,FMVZ-USP UPEC V2-6,Escherichia coli,NA,UPEC V2-6,NA,NA,NA,NA,5127257,Scaffold,2019-12-17T00:00:00Z,NA,150864,150864,Illumina MiSeq,FAPESP,PRJNA398035,SAMN11859829,NA,NA,NA,Escherichia coli,98.26,0.78,GCA_009761195.1_FMVZ-USP_UPEC_V2-6_genomic,B2,NA
GCA_007844575,123,GCA_007844575.1,ASM784457v1,Escherichia coli,NA,16802-2,NA,NA,NA,NA,4822833,Scaffold,2019-08-05T00:00:00Z,NA,113092,188865,Illumina HiSeq,Zhejiang University,PRJNA488336,SAMN09988093,NA,NA,NA,Escherichia coli,98.57,0.21,GCA_007844575.1_ASM784457v1_genomic,A,NA
GCA_009664185,1,GCA_009664185.1,ASM966418v1,Escherichia coli,NA,SL112,NA,NA,NA,NCBI Prokaryotic Genome Annotation Pipeline (PGAP),4789695,Complete Genome,2019-11-15T00:00:00Z,NA,4789695,4789695,ABI3730,University of Florida,PRJNA556987,SAMN12385930,4680,4397,172,Escherichia coli,97.86,0.22,GCA_009664185.1_ASM966418v1_genomic,B1,NA
GCA_008042015,3,GCA_008042015.2,ASM804201v2,Escherichia coli 042,NA,042,NA,NA,NA,NCBI Prokaryotic Genome Annotation Pipeline (PGAP),4789860,Complete Genome,2019-09-18T00:00:00Z,NA,4692707,4692707,Illumina NovaSeq and Oxford Nanopore MiniION,University of Bern,PRJNA560158,SAMN12569951,4710,4336,250,Escherichia coli,98.64,0.18,GCA_008042015.2_ASM804201v2_genomic,C,NA
GCA_005397465,154,GCA_005397465.1,ASM539746v1,Escherichia coli,NA,SI-P083,NA,NA,NA,"Annotation submitted by Microbiology, Graduate School of Medical Sciences, Kyushu University",5172229,Scaffold,2019-04-17T00:00:00Z,NA,98236,138214,Illumina MiSeq,"Microbiology, Graduate School of Medical Sciences, Kyushu University",PRJDB5579,SAMD00077717,4974,4897,NA,Escherichia coli,99.26,0.7,GCA_005397465.1_ASM539746v1_genomic,B1,NA
GCA_006235745,94,GCA_006235745.1,ASM623574v1,Escherichia coli,NA,LVEASB2,NA,NA,NA,NA,5132859,Scaffold,2019-06-11T00:00:00Z,NA,64369,329288,HiSeq2500 Rapid Run,University of Tartu,PRJNA528606,SAMN11232796,NA,NA,NA,Escherichia coli,98.94,0.67,GCA_006235745.1_ASM623574v1_genomic,B2,NA
GCA_006237965,154,GCA_006237965.1,ASM623796v1,Escherichia coli,NA,EETUKB203,NA,NA,NA,NA,4994317,Scaffold,2019-06-11T00:00:00Z,NA,60683,198823,HiSeq2500 Rapid Run,University of Tartu,PRJNA528606,SAMN11232748,NA,NA,NA,Escherichia coli,98.86,0.83,GCA_006237965.1_ASM623796v1_genomic,B2,NA
GCA_006232015,121,GCA_006232015.1,ASM623201v1,Escherichia coli,NA,EELTKB265,NA,NA,NA,NA,4952211,Scaffold,2019-06-11T00:00:00Z,NA,58143,161281,HiSeq2500 Rapid Run,University of Tartu,PRJNA528606,SAMN11232662,NA,NA,NA,Escherichia coli,98.01,0.51,GCA_006232015.1_ASM623201v1_genomic,D,NA
GCA_009800285,1,GCA_009800285.1,ASM980028v1,Escherichia coli,NA,lacZ_3,NA,NA,NA,NA,4641651,Chromosome,2019-12-26T00:00:00Z,NA,3430308,4641651,Illumina MiSeq,UCSF,PRJNA595961,SAMN13577974,NA,NA,NA,Escherichia coli,99.24,0.15,GCA_009800285.1_ASM980028v1_genomic,A,NA
GCA_005399705,110,GCA_005399705.1,ASM539970v1,Escherichia coli,NA,34-F30-A,NA,NA,NA,"Annotation submitted by Microbiology, Graduate School of Medical Sciences, Kyushu University",5387781,Scaffold,2019-03-18T00:00:00Z,NA,175685,199980,Illumina Miseq,"Microbiology, Graduate School of Medical Sciences, Kyushu University",PRJDB5579,SAMD00148602,5230,5152,NA,Escherichia coli,99.36,0.57,GCA_005399705.1_ASM539970v1_genomic,B1,NA
GCA_008124405,1,GCA_008124405.1,ASM812440v1,Escherichia coli O16:H48,NA,CV601gfp,NA,NA,NA,NCBI Prokaryotic Genome Annotation Pipeline (PGAP),4698238,Complete Genome,2019-08-29T00:00:00Z,NA,4698238,4698238,Illumina MiSeq and PacBio,National Microbiology Laboratory at Guelph,PRJNA560883,SAMN12603256,4579,4274,175,Escherichia coli,98.19,0.19,GCA_008124405.1_ASM812440v1_genomic,A,NA
GCA_005399525,91,GCA_005399525.1,ASM539952v1,Escherichia coli,NA,25-C51-A,NA,NA,NA,"Annotation submitted by Microbiology, Graduate School of Medical Sciences, Kyushu University",5200685,Scaffold,2019-03-18T00:00:00Z,NA,148868,154456,Illumina Miseq,"Microbiology, Graduate School of Medical Sciences, Kyushu University",PRJDB5579,SAMD00148593,4967,4885,NA,Escherichia coli,99.5,0.7,GCA_005399525.1_ASM539952v1_genomic,B1,NA
GCA_009432635,2,GCA_009432635.1,ASM943263v1,Escherichia coli,NA,F3398,NA,NA,NA,NCBI Prokaryotic Genome Annotation Pipeline (PGAP),5474637,Complete Genome,2019-10-31T00:00:00Z,NA,5381728,5381728,PacBio RSII,University of Texas at San Antonio,PRJNA530317,SAMN11633024,5516,5126,259,Escherichia coli,99.34,0.15,GCA_009432635.1_ASM943263v1_genomic,E,NA
GCA_009176965,7,GCA_009176965.1,ASM917696v1,Escherichia coli,NA,GSH8M-2,NA,NA,NA,"Annotation submitted by Laboratory of Bacterial Genomics, Pathogen Genomics Center, National Institute of Infectious Diseases",5016101,Complete Genome,2019-10-10T00:00:00Z,NA,4693292,4693292,Sequel; NextSeq500,"Laboratory of Bacterial Genomics, Pathogen Genomics Center, National Institute of Infectious Diseases",PRJDB6962,SAMD00168435,4919,4807,3,Escherichia coli,98.01,0.39,GCA_009176965.1_ASM917696v1_genomic,A,NA
GCA_006237735,93,GCA_006237735.1,ASM623773v1,Escherichia coli,NA,EEPERB90,NA,NA,NA,NA,5042843,Scaffold,2019-06-11T00:00:00Z,NA,81947,297676,HiSeq2500 Rapid Run,University of Tartu,PRJNA528606,SAMN11232716,NA,NA,NA,Escherichia coli,98.95,0.58,GCA_006237735.1_ASM623773v1_genomic,B2,NA
GCA_006237795,106,GCA_006237795.1,ASM623779v1,Escherichia coli,NA,EEPERB80,NA,NA,NA,NA,5245359,Scaffold,2019-06-11T00:00:00Z,NA,54127,269102,HiSeq2500 Rapid Run,University of Tartu,PRJNA528606,SAMN11232711,NA,NA,NA,Escherichia coli,98.86,0.34,GCA_006237795.1_ASM623779v1_genomic,B2,NA
GCA_012974565,1,GCA_012974565.1,ASM1297456v1,Escherichia coli,NA,SCU-101,NA,NA,NA,NCBI Prokaryotic Genome Annotation Pipeline (PGAP),5357129,Complete Genome,2020-05-05T00:00:00Z,NA,5357129,5357129,Illumina MiSeq; Oxford Nanopore MiniION,Santa Clara University,PRJNA607272,SAMN14125718,5157,4863,178,Escherichia coli,99.03,0.73,GCA_012974565.1_ASM1297456v1_genomic,B2,NA
GCA_010365505,5,GCA_010365505.1,ASM1036550v1,Escherichia coli,NA,163,NA,NA,NA,NCBI Prokaryotic Genome Annotation Pipeline (PGAP),4995341,Complete Genome,2020-02-09T00:00:00Z,NA,4819649,4819649,Oxford Nanopore/illumina minniseq,University of Zurich,PRJNA604100,SAMN13951917,4794,4492,183,Escherichia coli,98.35,0.74,GCA_010365505.1_ASM1036550v1_genomic,A,NA
GCA_006236505,134,GCA_006236505.1,ASM623650v1,Escherichia coli,NA,LVSTRB121,NA,NA,NA,NA,5144840,Scaffold,2019-06-11T00:00:00Z,NA,104702,233420,HiSeq2500 Rapid Run,University of Tartu,PRJNA528606,SAMN11232863,NA,NA,NA,Escherichia coli,99.02,0.75,GCA_006236505.1_ASM623650v1_genomic,B2,NA
GCA_015571595,2,GCA_015571595.1,ASM1557159v1,Escherichia coli O167:H26,NA,Res13-Lact-PER13-34,NA,NA,NA,NCBI Prokaryotic Genome Annotation Pipeline (PGAP),4970871,Complete Genome,2020-11-18T00:00:00Z,NA,4861285,4861285,Oxford Nanopore MinION and Illumina MiSeq,Government of Canada,PRJNA662792,SAMN16304240,4710,4540,50,Escherichia coli,99.37,0.25,GCA_015571595.1_ASM1557159v1_genomic,D,NA
GCA_017815815,4,GCA_017815815.1,ASM1781581v1,Escherichia coli,NA,SCU-101,NA,NA,NA,NCBI Prokaryotic Genome Annotation Pipeline (PGAP),5370586,Complete Genome,2021-04-07T00:00:00Z,NA,5357129,5357129,"Illumina MiSeq, Oxford Nanopore MiniION",Santa Clara University,PRJNA624897,SAMN14609767,5186,4883,187,Escherichia coli,99.03,0.73,GCA_017815815.1_ASM1781581v1_genomic,B2,NA
GCA_018884465,5,GCA_018884465.1,ASM1888446v1,Escherichia coli,NA,TD225-C4,NA,NA,NA,NA,5238275,Complete Genome,2021-06-15T00:00:00Z,NA,4858902,4858902,PacBio RSII,"University of Maryland, School of Medicine",PRJNA521509,SAMN10904672,NA,NA,NA,Escherichia coli,99.02,0.69,GCA_018884465.1_ASM1888446v1_genomic,C,NA
GCA_013315975,1,GCA_013315975.1,ASM1331597v1,Escherichia coli,NA,SCU-113,NA,NA,NA,NCBI Prokaryotic Genome Annotation Pipeline (PGAP),4765874,Complete Genome,2020-06-10T00:00:00Z,NA,4765874,4765874,"Illumina MiSeq, Oxford Nanopore MiniION",Santa Clara University,PRJNA624897,SAMN14609777,4540,4354,68,Escherichia coli,99.52,0.56,GCA_013315975.1_ASM1331597v1_genomic,B1,NA
GCA_016760775,121,GCA_016760775.1,ASM1676077v1,Escherichia coli,NA,LMLEEc101,NA,NA,NA,NCBI Prokaryotic Genome Annotation Pipeline (PGAP),4535056,Scaffold,2021-01-27T00:00:00Z,NA,79556,117188,Illumina NextSeq,"International Centre for Diarrhoeal Disease Research, Bangladesh",PRJNA654992,SAMN15719895,4402,4170,159,Escherichia coli,98.56,0.67,GCA_016760775.1_ASM1676077v1_genomic,A,NA
GCA_016775805,1,GCA_016775805.1,ASM1677580v1,Escherichia coli,NA,RIVM_C030256,NA,NA,NA,NCBI Prokaryotic Genome Annotation Pipeline (PGAP),5086785,Complete Genome,2021-02-01T00:00:00Z,NA,5086785,5086785,Oxford Nanopore MiniION,Dutch CPE surveillance Study Group,PRJNA691727,SAMN17373201,4877,4638,116,Escherichia coli,98.92,0.41,GCA_016775805.1_ASM1677580v1_genomic,D,NA
GCA_014323515,98,GCA_014323515.1,ASM1432351v1,Escherichia coli,NA,INTEC_BI10_1.1,NA,NA,NA,NCBI Prokaryotic Genome Annotation Pipeline (PGAP),6128811,Scaffold,2020-08-28T00:00:00Z,NA,162950,196345,Illumina NovaSeq,INTEC-UFPA,PRJNA659100,SAMN15897672,6000,5639,228,Escherichia coli,99.37,0.21,GCA_014323515.1_ASM1432351v1_genomic,C,NA
GCA_014168855,2,GCA_014168855.1,ASM1416885v1,Escherichia coli,NA,WP3-W18-ESBL-08,NA,NA,NA,"Annotation submitted by Laboratory of Bacterial Genomics, Pathogen Genomics Center, National Institute of Infectious Diseases",5366684,Complete Genome,2020-07-21T00:00:00Z,NA,5235350,5235350,Sequel; NextSeq 500,"Laboratory of Bacterial Genomics, Pathogen Genomics Center, National Institute of Infectious Diseases",PRJDB6962,SAMD00194414,5119,5008,NA,Escherichia coli,99.43,0.6,GCA_014168855.1_ASM1416885v1_genomic,D,NA
GCA_017164255,114,GCA_017164255.1,ASM1716425v1,Escherichia coli,NA,80EC,NA,NA,NA,NCBI Prokaryotic Genome Annotation Pipeline (PGAP),5360204,Scaffold,2021-03-04T00:00:00Z,NA,135992,148855,Illumina NovaSeq,Temasek Life Sciences Laboratory Limited,PRJNA599529,SAMN17807587,5330,5086,141,Escherichia coli,99.54,0.56,GCA_017164255.1_ASM1716425v1_genomic,B1,NA
GCA_016889025,2,GCA_016889025.1,ASM1688902v1,Escherichia coli,NA,FDAARGOS_1251,NA,NA,NA,NCBI Prokaryotic Genome Annotation Pipeline (PGAP),5237386,Complete Genome,2021-02-15T00:00:00Z,NA,5201262,5201262,Pacbio; Illumina,US Food and Drug Administration,PRJNA231221,SAMN16357393,5008,4724,171,Escherichia coli,99.13,0.57,GCA_016889025.1_ASM1688902v1_genomic,B2,NA
GCA_017164285,73,GCA_017164285.1,ASM1716428v1,Escherichia coli,NA,58EC,NA,NA,NA,NCBI Prokaryotic Genome Annotation Pipeline (PGAP),4995349,Scaffold,2021-03-04T00:00:00Z,NA,191050,191050,Illumina NovaSeq,Temasek Life Sciences Laboratory Limited,PRJNA599529,SAMN17807585,4916,4669,155,Escherichia coli,99.02,0.33,GCA_017164285.1_ASM1716428v1_genomic,B2,NA
GCA_016889625,1,GCA_016889625.1,ASM1688962v1,Escherichia coli,NA,FDAARGOS_1262,NA,NA,NA,NCBI Prokaryotic Genome Annotation Pipeline (PGAP),5225337,Complete Genome,2021-02-15T00:00:00Z,NA,5225337,5225337,Pacbio; Illumina,US Food and Drug Administration,PRJNA231221,SAMN16357404,4998,4718,165,Escherichia coli,99.19,0.45,GCA_016889625.1_ASM1688962v1_genomic,B2,NA
GCA_015644765,1,GCA_015644765.1,ASM1564476v1,Escherichia coli UTI89,NA,UTI89,NA,NA,NA,NA,5065741,Complete Genome,2020-11-22T00:00:00Z,NA,5065741,5065741,Illumina MiSeq,SASTRA University,PRJNA666976,SAMN16339607,NA,NA,NA,Escherichia coli,99.22,0.21,GCA_015644765.1_ASM1564476v1_genomic,B2,NA
GCA_016761035,83,GCA_016761035.1,ASM1676103v1,Escherichia coli,NA,LMLEEc063,NA,NA,NA,NCBI Prokaryotic Genome Annotation Pipeline (PGAP),5180621,Scaffold,2021-01-27T00:00:00Z,NA,185037,204739,Illumina NextSeq,"International Centre for Diarrhoeal Disease Research, Bangladesh",PRJNA654992,SAMN15719881,5075,4847,155,Escherichia coli,98.86,0.51,GCA_016761035.1_ASM1676103v1_genomic,B2,NA
GCA_016780725,1,GCA_016780725.1,ASM1678072v1,Escherichia coli,NA,EE72d,NA,NA,NA,NCBI Prokaryotic Genome Annotation Pipeline (PGAP),5253435,Complete Genome,2021-02-01T00:00:00Z,NA,5253435,5253435,Oxford Nanopore MinION,Massey University,PRJNA659030,SAMN15896202,5033,4772,139,Escherichia coli,99.31,0.88,GCA_016780725.1_ASM1678072v1_genomic,D,NA
GCA_013167675,3,GCA_013167675.1,ASM1316767v1,Escherichia coli O157:H7,NA,F7508,NA,NA,NA,NCBI Prokaryotic Genome Annotation Pipeline (PGAP),5641889,Complete Genome,2020-05-26T00:00:00Z,NA,5545879,5545879,PacBio RSII,United State Department of Agriculture,PRJNA528413,SAMN05360163,5770,5384,255,Escherichia coli,99.15,0.15,GCA_013167675.1_ASM1316767v1_genomic,E,NA
GCA_015690185,119,GCA_015690185.1,ASM1569018v1,Escherichia coli,NA,E4181,NA,NA,NA,NCBI Prokaryotic Genome Annotation Pipeline (PGAP),5131576,Scaffold,2020-11-25T00:00:00Z,NA,284501,284501,Illumina HiSeq,South China Agricultural University,PRJNA678682,SAMN16812777,5061,4773,173,Escherichia coli,98.86,0.44,GCA_015690185.1_ASM1569018v1_genomic,B2,NA
GCA_016904195,3,GCA_016904195.1,ASM1690419v1,Escherichia coli,NA,FDAARGOS_1296,NA,NA,NA,NCBI Prokaryotic Genome Annotation Pipeline (PGAP),5000651,Complete Genome,2021-02-17T00:00:00Z,NA,4876119,4876119,Pacbio; Illumina,US Food and Drug Administration,PRJNA231221,SAMN16357438,4839,4577,147,Escherichia coli,99.14,0.33,GCA_016904195.1_ASM1690419v1_genomic,B2,NA
GCA_016916575,1,GCA_016916575.1,ASM1691657v1,Escherichia coli,NA,S2,NA,NA,NA,NCBI Prokaryotic Genome Annotation Pipeline (PGAP),4615619,Chromosome,2021-02-21T00:00:00Z,NA,135865,4615619,Illumina MiSeq,University of Utah,PRJNA701008,SAMN17843115,4482,4238,155,Escherichia coli,98.85,0.15,GCA_016916575.1_ASM1691657v1_genomic,A,NA
GCA_017165155,2,GCA_017165155.1,ASM1716515v1,Escherichia coli O157:H7,NA,Z1626,NA,NA,NA,NCBI Prokaryotic Genome Annotation Pipeline (PGAP),5609276,Complete Genome,2021-03-04T00:00:00Z,NA,5516530,5516530,PacBio RSII,United State Department of Agriculture,PRJNA666790,SAMN16327596,5558,5182,240,Escherichia coli,99.24,0.15,GCA_017165155.1_ASM1716515v1_genomic,E,NA
GCA_013167775,2,GCA_013167775.1,ASM1316777v1,Escherichia coli O157:H7,NA,F6294,NA,NA,NA,NCBI Prokaryotic Genome Annotation Pipeline (PGAP),5685865,Complete Genome,2020-05-26T00:00:00Z,NA,5593140,5593140,PacBio RSII,United State Department of Agriculture,PRJNA528413,SAMN11229489,5850,5463,255,Escherichia coli,99.51,0.15,GCA_013167775.1_ASM1316777v1_genomic,E,NA
GCA_017743075,3,GCA_017743075.1,ASM1774307v1,Escherichia coli,NA,EC-JS426,NA,NA,NA,NCBI Prokaryotic Genome Annotation Pipeline (PGAP),5036724,Complete Genome,2021-04-04T00:00:00Z,NA,4830935,4830935,Illumina; Oxford Nanopore,University Hospital Frankfurt,PRJNA644256,SAMN18475704,4844,4586,139,Escherichia coli,99.34,0.37,GCA_017743075.1_ASM1774307v1_genomic,B1,NA
GCA_017164615,28,GCA_017164615.1,ASM1716461v1,Escherichia coli,NA,10EC,NA,NA,NA,NCBI Prokaryotic Genome Annotation Pipeline (PGAP),4673226,Scaffold,2021-03-04T00:00:00Z,NA,306499,309438,Illumina NovaSeq,Temasek Life Sciences Laboratory Limited,PRJNA599529,SAMN17807568,4391,4245,49,Escherichia coli,96.23,0.19,GCA_017164615.1_ASM1716461v1_genomic,D,NA
GCA_013343615,7,GCA_013343615.1,ASM1334361v1,Escherichia coli O55:H7,NA,USDA5905,NA,NA,NA,NCBI Prokaryotic Genome Annotation Pipeline (PGAP),5610554,Complete Genome,2020-06-15T00:00:00Z,NA,5431628,5431628,PacBio RSII,United State Department of Agriculture,PRJNA528413,SAMN11229503,5668,5282,251,Escherichia coli,98.95,0.18,GCA_013343615.1_ASM1334361v1_genomic,E,NA
GCA_016811895,1,GCA_016811895.1,ASM1681189v1,Escherichia coli BW25113,NA,BW25113 substr. CHXR3G20,NA,NA,NA,NCBI Prokaryotic Genome Annotation Pipeline (PGAP),4631469,Chromosome,2021-02-07T00:00:00Z,NA,3728444,4631469,Illumina,University of Manitoba,PRJNA646979,SAMN17570630,4460,4188,151,Escherichia coli,99.08,0.15,GCA_016811895.1_ASM1681189v1_genomic,A,NA
GCA_018884065,5,GCA_018884065.1,ASM1888406v1,Escherichia coli,NA,E2,NA,NA,NA,NCBI Prokaryotic Genome Annotation Pipeline (PGAP),4998048,Complete Genome,2021-06-15T00:00:00Z,NA,4741120,4741120,Oxford Nanopore MiniION; Illumina MiSeq,Hospital Universitari Vall d'Hebron,PRJNA577622,SAMN13031456,4834,4529,187,Escherichia coli,99.35,0.39,GCA_018884065.1_ASM1888406v1_genomic,C,NA
GCA_018884505,4,GCA_018884505.1,ASM1888450v1,Escherichia coli,NA,E2528-C1,NA,NA,NA,NA,5158259,Complete Genome,2021-06-15T00:00:00Z,NA,4913196,4913196,PacBio RSII,"University of Maryland, School of Medicine",PRJNA521509,SAMN10904671,NA,NA,NA,Escherichia coli,99.22,0.25,GCA_018884505.1_ASM1888450v1_genomic,A,NA
GCA_013168035,4,GCA_013168035.1,ASM1316803v1,Escherichia coli O157:H7,NA,DEC4E,NA,NA,NA,NCBI Prokaryotic Genome Annotation Pipeline (PGAP),5466350,Complete Genome,2020-05-26T00:00:00Z,NA,5362528,5362528,PacBio RSII,United State Department of Agriculture,PRJNA528413,SAMN11229482,5521,5149,244,Escherichia coli,99.52,0.15,GCA_013168035.1_ASM1316803v1_genomic,E,NA
GCA_016615255,101,GCA_016615255.1,ASM1661525v1,Escherichia coli,NA,BSI117,NA,NA,NA,NCBI Prokaryotic Genome Annotation Pipeline (PGAP),5325701,Scaffold,2021-01-11T00:00:00Z,NA,223503,342073,Illumina HiSeq,Sun-yat Sen University,PRJNA550041,SAMN12109413,5449,5167,199,Escherichia coli,99.02,0.94,GCA_016615255.1_ASM1661525v1_genomic,B2,NA
GCA_015277555,5,GCA_015277555.1,ASM1527755v1,Escherichia coli O25b:H4-ST131,NA,ST131,NA,NA,NA,NCBI Prokaryotic Genome Annotation Pipeline (PGAP),5133690,Complete Genome,2020-11-07T00:00:00Z,NA,5058045,5058045,PacBio Sequel,The HKUST,PRJNA670813,SAMN16520835,4986,4724,149,Escherichia coli,99.02,0.71,GCA_015277555.1_ASM1527755v1_genomic,B2,NA
GCA_016776325,1,GCA_016776325.1,ASM1677632v1,Escherichia coli,NA,RIVM_C018583,NA,NA,NA,NCBI Prokaryotic Genome Annotation Pipeline (PGAP),5419042,Complete Genome,2021-02-01T00:00:00Z,NA,5419042,5419042,Oxford Nanopore MiniION,Dutch CPE surveillance Study Group,PRJNA691727,SAMN17373183,5233,4951,152,Escherichia coli,99.07,0.58,GCA_016776325.1_ASM1677632v1_genomic,D,NA
GCA_018986835,2,GCA_018986835.1,ASM1898683v1,Escherichia coli O8:H28,NA,BMH-17-0027,NA,NA,NA,NCBI Prokaryotic Genome Annotation Pipeline (PGAP),4917512,Complete Genome,2021-06-22T00:00:00Z,NA,4799802,4799802,Illumina MiSeq/NextSeq and Oxford Nanopore MinION,Health Canada,PRJNA735700,SAMN19011645,4755,4536,97,Escherichia coli,99.18,0.18,GCA_018986835.1_ASM1898683v1_genomic,B1,NA
GCA_016458945,5,GCA_016458945.1,ASM1645894v1,Escherichia coli O157:H7,NA,ECP19-2498,NA,NA,NA,NCBI Prokaryotic Genome Annotation Pipeline (PGAP),5730723,Complete Genome,2021-01-03T00:00:00Z,NA,5524652,5524652,PacBio Sequel; Illumin MiSeq,GenFS,PRJNA681235,SAMN16946945,5728,5358,239,Escherichia coli,99.2,0.15,GCA_016458945.1_ASM1645894v1_genomic,E,NA
GCA_013168255,3,GCA_013168255.1,ASM1316825v1,Escherichia coli O157:H7,NA,611,NA,NA,NA,NCBI Prokaryotic Genome Annotation Pipeline (PGAP),5573700,Complete Genome,2020-05-26T00:00:00Z,NA,5477691,5477691,PacBio RSII,United State Department of Agriculture,PRJNA528413,SAMN11229477,5699,5325,241,Escherichia coli,99.51,0.15,GCA_013168255.1_ASM1316825v1_genomic,E,NA
GCA_014904265,3,GCA_014904265.2,ASM1490426v2,Escherichia coli,NA,NT1F34,NA,NA,NA,NA,4896982,Complete Genome,2021-05-28T00:00:00Z,NA,4658215,4658215,Nanopore; Illumina,Yangzhou University,PRJNA663118,SAMN16120645,NA,NA,NA,Escherichia coli,98.36,0.7,GCA_014904265.2_ASM1490426v2_genomic,A,NA
GCA_013357345,5,GCA_013357345.1,ASM1335734v1,Escherichia coli,NA,MS6192,NA,NA,NA,Annotation submitted by The University of Melbourne,5188554,Complete Genome,2020-06-17T00:00:00Z,NA,4879059,4879059,PacBio RS; Illumina HiSeq,The University of Melbourne,PRJNA580334,SAMN13155204,5160,4896,8,Escherichia coli,99.28,0.56,GCA_013357345.1_ASM1335734v1_genomic,B1,NA
GCA_018075285,4,GCA_018075285.1,ASM1807528v1,Escherichia coli,NA,EC2341,NA,NA,NA,NCBI Prokaryotic Genome Annotation Pipeline (PGAP),5098723,Complete Genome,2021-04-19T00:00:00Z,NA,4769833,4769833,PacBio,Zhejiang Provincial People's Hospital,PRJNA720492,SAMN18652119,4950,4571,258,Escherichia coli,99.3,0.44,GCA_018075285.1_ASM1807528v1_genomic,C,NA
GCA_017896205,1,GCA_017896205.1,ASM1789620v1,Escherichia coli,NA,BW25113 frmA KO,NA,NA,NA,NCBI Prokaryotic Genome Annotation Pipeline (PGAP),4631863,Chromosome,2021-04-10T00:00:00Z,NA,4631763,4631863,PacBio RSII,University of Delaware,PRJNA691939,SAMN17309454,4461,4185,155,Escherichia coli,98.91,0.15,GCA_017896205.1_ASM1789620v1_genomic,A,NA
GCA_014863685,1,GCA_014863685.1,ASM1486368v1,Escherichia coli,NA,AML001_par,NA,NA,NA,NA,4631469,Complete Genome,2020-10-08T00:00:00Z,NA,4631469,4631469,Illumina NextSeq,Boston University,PRJNA666010,SAMN16090671,NA,NA,NA,Escherichia coli,99.08,0.15,GCA_014863685.1_ASM1486368v1_genomic,A,NA
