assembly_id_simp,Contig_number,assembly_id,organism_name,organism_name_breed,strain,cultivar,ecotype,isolate,annotation_name,seq_length,assembly_level,release_date,wgs_project,contig_n50,scaffold_n50,sequencing_tech,submitter,bioproject,biosample,genes,protein_coding_genes,pseudogenes,checkM_marker_set,checkM_completeness,checkM_contamination
GCA_016864175,3,GCA_016864175.1,Escherichia coli,NA,DE17,NA,NA,NA,NCBI Prokaryotic Genome Annotation Pipeline (PGAP),5140910,Complete Genome,2021-02-11T00:00:00Z,NA,4944436,4944436,Oxford Nanopore GridION; Illumina HiSeq,"Shanghai Veterinary Research Institute, CAAS",PRJNA577015,SAMN13017016,5143,4796,229,Escherichia coli,99.19,0.87
GCA_014826015,6,GCA_014826015.1,Escherichia coli,NA,JS316,NA,NA,NA,NCBI Prokaryotic Genome Annotation Pipeline (PGAP),4939208,Complete Genome,2020-09-30T00:00:00Z,NA,4718403,4718403,Illumina; Oxford Nanopore,University Hospital Frankfurt,PRJNA644256,SAMN15455438,4789,4459,206,Escherichia coli,98.61,0.29
GCA_015160175,265,GCA_015160175.1,Escherichia coli,NA,EC_1500,NA,NA,NA,NCBI Prokaryotic Genome Annotation Pipeline (PGAP),5217159,Scaffold,2020-10-31T00:00:00Z,NA,103969,104496,Illumina NextSeq,U. S. Food and Drug Administraion/NCTR,PRJNA545531,SAMN16454175,5311,5041,213,Escherichia coli,99.04,0.67
GCA_013185545,193,GCA_013185545.1,Escherichia coli,NA,110,NA,NA,NA,NA,5489125,Scaffold,2020-05-28T00:00:00Z,NA,118895,126586,Illumina MiSeq,Wageningen University & Research,PRJNA624229,SAMN14572065,NA,NA,NA,Escherichia coli,98.84,0.34
GCA_014075595,4,GCA_014075595.1,Escherichia coli,NA,63-2,NA,NA,NA,NCBI Prokaryotic Genome Annotation Pipeline (PGAP),4603123,Complete Genome,2020-08-05T00:00:00Z,NA,4506356,4506356,Oxford Nanopore MiniION,China Agricutual University,PRJNA610125,SAMN14278030,4403,4081,203,Escherichia coli,98.97,0.27
GCA_015556485,32,GCA_015556485.1,Escherichia coli,NA,1001175B_160314_F4,NA,NA,NA,NA,4627252,Scaffold,2020-11-17T00:00:00Z,NA,256684,330331,Illumina HiSeq,Icahn School of Medicine at Mount Sinai,PRJNA637878,SAMN15532960,NA,NA,NA,Escherichia coli,95.21,0.24
GCA_016903915,11,GCA_016903915.1,Escherichia coli,NA,FDAARGOS_1300,NA,NA,NA,NCBI Prokaryotic Genome Annotation Pipeline (PGAP),5457554,Complete Genome,2021-02-17T00:00:00Z,NA,5171181,5171181,Pacbio; Illumina,US Food and Drug Administration,PRJNA231221,SAMN16357442,5375,5058,200,Escherichia coli,99.02,0.58
GCA_013372425,3,GCA_013372425.1,Escherichia coli,NA,EcPF5,NA,NA,NA,NCBI Prokaryotic Genome Annotation Pipeline (PGAP),5280618,Complete Genome,2020-06-24T00:00:00Z,NA,5147412,5147412,"Illumina NextSeq, ONT MinION",University of Texas at Dallas,PRJNA636382,SAMN15075992,5060,4730,213,Escherichia coli,98.84,0.38
GCA_018444375,136,GCA_018444375.1,Escherichia coli,NA,Survcare053-1,NA,NA,NA,NA,4884717,Scaffold,2021-05-21T00:00:00Z,NA,178534,183679,Illumina NextSeq,SurvCARE,PRJNA692829,SAMN17371966,NA,NA,NA,Escherichia coli,95.92,0.56
GCA_013167175,3,GCA_013167175.1,Escherichia coli O157:H7,NA,TX 376-2,NA,NA,NA,NCBI Prokaryotic Genome Annotation Pipeline (PGAP),5652450,Complete Genome,2020-05-26T00:00:00Z,NA,5455720,5455720,PacBio RSII,United State Department of Agriculture,PRJNA528413,SAMN05360243,5799,5392,270,Escherichia coli,99.27,0.15
GCA_014160155,1,GCA_014160155.1,Escherichia coli,NA,WP5-S17-ESBL-11,NA,NA,NA,"Annotation submitted by Laboratory of Bacterial Genomics, Pathogen Genomics Center, National Institute of Infectious Diseases",4781831,Complete Genome,2020-07-21T00:00:00Z,NA,4781831,4781831,Sequel; NextSeq 500,"Laboratory of Bacterial Genomics, Pathogen Genomics Center, National Institute of Infectious Diseases",PRJDB6962,SAMD00194507,4533,4423,NA,Escherichia coli,99.31,0.59
GCA_014155245,63,GCA_014155245.1,Escherichia coli,NA,N15-1,NA,NA,NA,NA,4780226,Scaffold,2020-08-11T00:00:00Z,NA,192438,192438,Illumina HiSeq,Inner Mongolia University of Technology,PRJNA629454,SAMN14776545,NA,NA,NA,Escherichia coli,97.4,0.66
GCA_019270135,1,GCA_019270135.1,Escherichia coli,NA,Colony199,NA,NA,NA,NA,4733683,Chromosome,2021-07-19T00:00:00Z,NA,31593,4733683,Illumina HiSeq,Ministry of Public Health-Thailand,PRJNA668870,SAMN17771350,NA,NA,NA,Escherichia coli,97.94,0.15
GCA_014526385,92,GCA_014526385.1,Escherichia coli,NA,ECR.1,NA,NA,NA,NA,5154350,Scaffold,2020-09-11T00:00:00Z,NA,235127,235127,Illumina HiSeq,Universidade de Aveiro,PRJNA612976,SAMN14393374,NA,NA,NA,Escherichia coli,98.96,0.57
GCA_014898635,3,GCA_014898635.1,Escherichia coli,NA,188,NA,NA,NA,NCBI Prokaryotic Genome Annotation Pipeline (PGAP),5133298,Chromosome,2020-10-20T00:00:00Z,NA,27926,4857938,IonTorrent,Ankara Yildirim Beyazit University,PRJNA666802,SAMN16327877,4311,4045,151,Escherichia coli,98.11,0.55
GCA_017570605,9,GCA_017570605.1,Escherichia coli O89m:H10,NA,MIN12,NA,NA,NA,NCBI Prokaryotic Genome Annotation Pipeline (PGAP),5274803,Complete Genome,2021-03-23T00:00:00Z,NA,4896568,4896568,Illumina MiSeq; Oxford Nanopore MinION,Medical University of Bialystok,PRJNA700422,SAMN17831485,5140,4743,275,Escherichia coli,98.16,0.46
GCA_013372385,2,GCA_013372385.1,Escherichia coli,NA,EcPF14,NA,NA,NA,NCBI Prokaryotic Genome Annotation Pipeline (PGAP),5137006,Complete Genome,2020-06-24T00:00:00Z,NA,5129852,5129852,"Illumina NextSeq, ONT MinION",University of Texas at Dallas,PRJNA636382,SAMN15075994,4911,4634,166,Escherichia coli,98.43,0.41
GCA_013424325,93,GCA_013424325.1,Escherichia coli,NA,PE01_641,NA,NA,NA,NCBI Prokaryotic Genome Annotation Pipeline (PGAP),4966716,Scaffold,2020-07-19T00:00:00Z,NA,187943,187943,Illumina MiSeq,Universidad Peruana Cayetano Heredia,PRJNA633873,SAMN15515992,4887,4661,114,Escherichia coli,99.4,0.3
GCA_013167355,3,GCA_013167355.1,Escherichia coli O157:H7,NA,OK1,NA,NA,NA,NCBI Prokaryotic Genome Annotation Pipeline (PGAP),5560677,Complete Genome,2020-05-26T00:00:00Z,NA,5459741,5459741,PacBio RSII,United State Department of Agriculture,PRJNA528413,SAMN11229501,5675,5300,243,Escherichia coli,99.51,0.15
GCA_013187405,87,GCA_013187405.1,Escherichia coli,NA,L29,NA,NA,NA,NA,4995829,Scaffold,2020-05-29T00:00:00Z,NA,174694,244193,Illumina,Auburn University,PRJNA631965,SAMN14898734,NA,NA,NA,Escherichia coli,99.54,0.43
GCA_016735835,936,GCA_016735835.1,Escherichia coli,NA,9.54,NA,NA,NA,Annotation submitted by Wetsus,5837872,Scaffold,2021-01-21T00:00:00Z,NA,114262,114262,Illumina MiSeq,Wetsus,PRJNA661180,SAMN16047462,5653,5547,13,Escherichia coli,98.99,0.74
GCA_014623225,4,GCA_014623225.1,Escherichia coli O145,NA,RM9154-C1,NA,NA,NA,NCBI Prokaryotic Genome Annotation Pipeline (PGAP),5576061,Complete Genome,2020-09-16T00:00:00Z,NA,5205721,5205721,PacBio RSII,"USDA, ARS, WRRC",PRJNA483500,SAMN09742411,5627,5170,324,Escherichia coli,98.7,0.34
GCA_019120975,159,GCA_019120975.1,Escherichia coli,NA,KCJ2K2336,NA,NA,NA,NCBI Prokaryotic Genome Annotation Pipeline (PGAP),5084441,Scaffold,2021-07-05T00:00:00Z,NA,180657,180657,Illumina MiSeq,University of Florida,PRJNA735218,SAMN19572613,4965,4721,133,Escherichia coli,99.52,0.36
GCA_013166935,1,GCA_013166935.1,Escherichia coli,NA,NEBExpress,NA,NA,NA,NCBI Prokaryotic Genome Annotation Pipeline (PGAP),4476291,Complete Genome,2020-05-26T00:00:00Z,NA,4476291,4476291,PacBio RSII,New England Biolabs,PRJNA341475,SAMN14933842,4316,4026,174,Escherichia coli,99.36,0.15
GCA_013185455,214,GCA_013185455.1,Escherichia coli,NA,118,NA,NA,NA,NA,5494470,Scaffold,2020-05-28T00:00:00Z,NA,117298,118227,Illumina MiSeq,Wageningen University & Research,PRJNA624229,SAMN14572073,NA,NA,NA,Escherichia coli,98.84,0.51
GCA_017164485,171,GCA_017164485.1,Escherichia coli,NA,39EC,NA,NA,NA,NCBI Prokaryotic Genome Annotation Pipeline (PGAP),4988685,Scaffold,2021-03-04T00:00:00Z,NA,116203,116203,Illumina NovaSeq,Temasek Life Sciences Laboratory Limited,PRJNA599529,SAMN17807575,4983,4693,191,Escherichia coli,98.55,0.44
GCA_017570625,11,GCA_017570625.1,Escherichia coli O89m:H9,NA,MIN11,NA,NA,NA,NCBI Prokaryotic Genome Annotation Pipeline (PGAP),4988215,Complete Genome,2021-03-23T00:00:00Z,NA,4768306,4768306,Illumina MiSeq; Oxford Nanopore MinION,Medical University of Bialystok,PRJNA700422,SAMN17831484,4809,4474,214,Escherichia coli,98.74,0.38
GCA_019219555,169,GCA_019219555.1,Escherichia coli,NA,YC102,NA,NA,NA,NCBI Prokaryotic Genome Annotation Pipeline (PGAP),5039829,Scaffold,2021-07-14T00:00:00Z,NA,138057,138057,Illumina HiSeq,SCAU,PRJNA743422,SAMN20033682,5055,4737,209,Escherichia coli,98.26,0.83
GCA_019192625,1,GCA_019192625.2,Escherichia coli,NA,JM83,NA,NA,NA,NA,4558296,Complete Genome,2023-08-16T00:00:00Z,NA,4558296,4558296,Oxford Nanopore PromethION; Illumina NextSeq,Technical University of Munich,PRJNA740136,SAMN19820927,NA,NA,NA,Escherichia coli,97.99,0.15
GCA_014858525,1,GCA_014858525.1,Escherichia coli,NA,UTI89,NA,NA,NA,NCBI Prokaryotic Genome Annotation Pipeline (PGAP),5065741,Complete Genome,2020-10-07T00:00:00Z,NA,5065741,5065741,Illumina MiSeq,SASTRA University,PRJNA664911,SAMN16237063,4865,4627,121,Escherichia coli,99.22,0.21
GCA_015712415,140,GCA_015712415.1,Escherichia coli,NA,182,NA,NA,NA,NCBI Prokaryotic Genome Annotation Pipeline (PGAP),4968946,Scaffold,2020-12-02T00:00:00Z,NA,102349,121152,Illumina,The Hong Kong Polytechnic University,PRJNA558538,SAMN12495032,5003,4693,219,Escherichia coli,98.69,0.9
GCA_019281565,103,GCA_019281565.1,Escherichia coli,NA,PIECR2,NA,NA,NA,NCBI Prokaryotic Genome Annotation Pipeline (PGAP),4985684,Scaffold,2021-07-19T00:00:00Z,NA,161044,161044,Illumina HiSeq,University of Maine at Presque Isle,PRJNA732585,SAMN19607875,4873,4618,153,Escherichia coli,98.61,0.59
GCA_016889685,4,GCA_016889685.1,Escherichia coli,NA,FDAARGOS_1267,NA,NA,NA,NCBI Prokaryotic Genome Annotation Pipeline (PGAP),5434756,Complete Genome,2021-02-15T00:00:00Z,NA,5363683,5363683,Pacbio; Illumina,US Food and Drug Administration,PRJNA231221,SAMN16357409,5279,4987,177,Escherichia coli,98.75,0.53
GCA_017165355,3,GCA_017165355.1,Escherichia coli O157:H7,NA,Z885,NA,NA,NA,NCBI Prokaryotic Genome Annotation Pipeline (PGAP),5624856,Complete Genome,2021-03-04T00:00:00Z,NA,5529386,5529386,PacBio RSII,United State Department of Agriculture,PRJNA666790,SAMN16327588,5577,5216,225,Escherichia coli,99.24,0.15
GCA_013166995,1,GCA_013166995.1,Escherichia coli,NA,Dam/Dcm,NA,NA,NA,NCBI Prokaryotic Genome Annotation Pipeline (PGAP),4628041,Complete Genome,2020-05-26T00:00:00Z,NA,4628041,4628041,PacBio RSII,New England Biolabs,PRJNA341475,SAMN14933838,4446,4160,164,Escherichia coli,99.09,0.15
GCA_016810155,112,GCA_016810155.1,Escherichia coli,NA,QU-35,NA,NA,NA,NCBI Prokaryotic Genome Annotation Pipeline (PGAP),4800751,Scaffold,2021-02-06T00:00:00Z,NA,126445,137727,Complete Genomics,Qatar University,PRJNA690895,SAMN17320763,4657,4423,139,Escherichia coli,98.87,0.23
GCA_014901755,9,GCA_014901755.1,Escherichia coli,NA,UCI159,NA,NA,NA,NA,5334370,Scaffold,2020-10-20T00:00:00Z,NA,385804,5029573,Illumina,Broad Institute,PRJNA271899,SAMN08148206,NA,NA,NA,Escherichia coli,99.49,0.48
GCA_016761135,82,GCA_016761135.1,Escherichia coli,NA,LMLEEc041,NA,NA,NA,NCBI Prokaryotic Genome Annotation Pipeline (PGAP),5023339,Scaffold,2021-01-27T00:00:00Z,NA,183536,205737,Illumina NextSeq,"International Centre for Diarrhoeal Disease Research, Bangladesh",PRJNA654992,SAMN15719875,4874,4654,146,Escherichia coli,98.89,0.57
GCA_014529255,140,GCA_014529255.1,Escherichia coli,NA,NX-C113,NA,NA,NA,NA,4833642,Scaffold,2020-09-11T00:00:00Z,NA,142816,142816,Illumina HiSeq,China Agricultural University,PRJNA625924,SAMN14611364,NA,NA,NA,Escherichia coli,95.55,0.37
GCA_013167135,2,GCA_013167135.1,Escherichia coli O157:H7,NA,F8492,NA,NA,NA,NCBI Prokaryotic Genome Annotation Pipeline (PGAP),5606180,Complete Genome,2020-05-26T00:00:00Z,NA,5512933,5512933,PacBio RSII,United State Department of Agriculture,PRJNA528413,SAMN11267279,5748,5361,256,Escherichia coli,99.48,0.15
GCA_013372305,5,GCA_013372305.1,Escherichia coli,NA,EcPF40,NA,NA,NA,NCBI Prokaryotic Genome Annotation Pipeline (PGAP),5210779,Complete Genome,2020-06-24T00:00:00Z,NA,5025664,5025664,"Illumina NextSeq, ONT MinION",University of Texas at Dallas,PRJNA636382,SAMN15075998,5081,4799,167,Escherichia coli,98.99,0.38
GCA_016761455,199,GCA_016761455.1,Escherichia coli,NA,LMLEEc003,NA,NA,NA,NCBI Prokaryotic Genome Annotation Pipeline (PGAP),5210700,Scaffold,2021-01-27T00:00:00Z,NA,135321,141642,Illumina NextSeq,"International Centre for Diarrhoeal Disease Research, Bangladesh",PRJNA654992,SAMN15719861,5131,4894,179,Escherichia coli,98.91,0.59
GCA_016615365,149,GCA_016615365.1,Escherichia coli,NA,BSI111,NA,NA,NA,NCBI Prokaryotic Genome Annotation Pipeline (PGAP),5398819,Scaffold,2021-01-11T00:00:00Z,NA,136697,157952,Illumina HiSeq,Sun-yat Sen University,PRJNA550041,SAMN12109407,5425,5130,208,Escherichia coli,99.46,0.3
GCA_018447475,148,GCA_018447475.3,Escherichia coli,NA,Survcare190,NA,NA,NA,Annotation submitted by SurvCARE,5085583,Scaffold,2022-10-11T00:00:00Z,NA,111855,112685,Illumina NextSeq,SurvCARE,PRJNA692829,SAMN17372099,85,72,13,Escherichia coli,98.58,0.57
GCA_017868515,3,GCA_017868515.1,Escherichia coli,NA,QDFD216,NA,NA,NA,NCBI Prokaryotic Genome Annotation Pipeline (PGAP),4661831,Complete Genome,2021-04-08T00:00:00Z,NA,4577885,4577885,PacBio,College of Veterinary Medicine,PRJNA628836,SAMN14752080,4546,4169,253,Escherichia coli,98.61,0.54
GCA_016775825,1,GCA_016775825.1,Escherichia coli,NA,RIVM_C029952,NA,NA,NA,NCBI Prokaryotic Genome Annotation Pipeline (PGAP),5280943,Complete Genome,2021-02-01T00:00:00Z,NA,5280943,5280943,Oxford Nanopore MiniION,Dutch CPE surveillance Study Group,PRJNA691727,SAMN17373197,5112,4811,176,Escherichia coli,98.61,0.55
GCA_015690285,168,GCA_015690285.1,Escherichia coli,NA,E4396,NA,NA,NA,NCBI Prokaryotic Genome Annotation Pipeline (PGAP),5224661,Scaffold,2020-11-25T00:00:00Z,NA,202882,216133,Illumina HiSeq,South China Agricultural University,PRJNA678682,SAMN16812774,5224,4919,193,Escherichia coli,98.97,0.63
GCA_013168215,2,GCA_013168215.1,Escherichia coli O157:H7,NA,7409,NA,NA,NA,NCBI Prokaryotic Genome Annotation Pipeline (PGAP),5592126,Complete Genome,2020-05-26T00:00:00Z,NA,5495195,5495195,PacBio RSII,United State Department of Agriculture,PRJNA528413,SAMN11229479,5733,5334,265,Escherichia coli,99.22,0.15
GCA_016615195,138,GCA_016615195.1,Escherichia coli,NA,BSI119,NA,NA,NA,NCBI Prokaryotic Genome Annotation Pipeline (PGAP),4806859,Scaffold,2021-01-11T00:00:00Z,NA,107184,133003,Illumina HiSeq,Sun-yat Sen University,PRJNA550041,SAMN12109415,4780,4514,178,Escherichia coli,97.56,0.62
GCA_013167055,2,GCA_013167055.1,Escherichia coli,NA,NEB_Turbo,NA,NA,NA,NCBI Prokaryotic Genome Annotation Pipeline (PGAP),4758579,Complete Genome,2020-05-26T00:00:00Z,NA,4527032,4527032,PacBio RSII,New England Biolabs,PRJNA341475,SAMN14933836,4592,4310,160,Escherichia coli,99.55,0.15
GCA_013374335,2,GCA_013374335.1,Escherichia coli,NA,F070,NA,NA,NA,NA,4967499,Complete Genome,2020-06-17T00:00:00Z,NA,4873850,4873850,GridION; Illumina MiSeq,Osaka University,PRJDB5126,SAMD00157562,NA,NA,NA,Escherichia coli,99.28,0.31
GCA_018420635,254,GCA_018420635.1,Escherichia coli,NA,Survcare463,NA,NA,NA,NA,5212914,Scaffold,2021-05-20T00:00:00Z,NA,110004,119366,Illumina NextSeq,SurvCARE,PRJNA692829,SAMN17373121,NA,NA,NA,Escherichia coli,99.13,0.6
GCA_017939365,111,GCA_017939365.1,Escherichia coli,NA,Sblue3,NA,NA,NA,NCBI Prokaryotic Genome Annotation Pipeline (PGAP),5007639,Scaffold,2021-04-13T00:00:00Z,NA,141934,186120,Illumina MiSeq,Nanyang Technological University,PRJNA719938,SAMN18628974,4897,4620,136,Escherichia coli,98.91,0.48
GCA_014904315,2,GCA_014904315.2,Escherichia coli,NA,NT1F25,NA,NA,NA,NA,4739619,Complete Genome,2021-05-28T00:00:00Z,NA,4617056,4617056,Nanopore; Illumina,Yangzhou University,PRJNA663118,SAMN16120643,NA,NA,NA,Escherichia coli,97.19,0.24
GCA_014863485,269,GCA_014863485.1,Escherichia coli,NA,ARS-CC11310,NA,NA,NA,NA,5294985,Scaffold,2020-10-06T00:00:00Z,NA,102650,108470,Illumina NextSeq,USDA,PRJNA664052,SAMN16193141,NA,NA,NA,Escherichia coli,99.45,0.81
GCA_014857845,149,GCA_014857845.1,Escherichia coli,NA,ARS-CC11292,NA,NA,NA,NA,4848008,Scaffold,2020-10-06T00:00:00Z,NA,98049,115317,Illumina NextSeq,USDA,PRJNA664052,SAMN16193145,NA,NA,NA,Escherichia coli,99.37,0.3
GCA_014926075,118,GCA_014926075.1,Escherichia coli,NA,S61,NA,NA,NA,NCBI Prokaryotic Genome Annotation Pipeline (PGAP),5122488,Scaffold,2020-10-23T00:00:00Z,NA,92025,121456,Illumina HiSeq,Universite Parsi-Saclay/ UMR1184,PRJNA662045,SAMN16073671,4994,4801,138,Escherichia coli,99.37,0.6
GCA_013423565,67,GCA_013423565.1,Escherichia coli,NA,MVAST5574,NA,NA,NA,NCBI Prokaryotic Genome Annotation Pipeline (PGAP),5158994,Scaffold,2020-07-17T00:00:00Z,NA,204322,204322,Oxford Nanopore Technology; Illumina iSeq,"Virginia commonwealth university, Richmond VA, USA",PRJNA611789,SAMN14348356,4964,4783,102,Escherichia coli,99.33,0.81
GCA_017164995,2,GCA_017164995.1,Escherichia coli O157:H7,NA,Z1813,NA,NA,NA,NCBI Prokaryotic Genome Annotation Pipeline (PGAP),5684358,Complete Genome,2021-03-04T00:00:00Z,NA,5591596,5591596,PacBio RSII,United State Department of Agriculture,PRJNA666790,SAMN16327604,5668,5289,242,Escherichia coli,99.02,0.15
GCA_014170735,2,GCA_014170735.1,Escherichia coli,NA,162.2,NA,NA,NA,NCBI Prokaryotic Genome Annotation Pipeline (PGAP),4750867,Complete Genome,2020-08-12T00:00:00Z,NA,4650924,4650924,Oxford Nanopore MinION,University of Guelph,PRJNA596173,SAMN13613895,4582,4077,386,Escherichia coli,96.07,0.42
GCA_013415505,154,GCA_013415505.1,Escherichia coli,NA,16EC,NA,NA,NA,NCBI Prokaryotic Genome Annotation Pipeline (PGAP),4929852,Scaffold,2020-07-14T00:00:00Z,NA,125463,125463,Illumina HiSeq,China Agricultural University,PRJNA545593,SAMN11927581,4964,4665,192,Escherichia coli,98.96,0.77
GCA_013424915,143,GCA_013424915.1,Escherichia coli,NA,PE01_360,NA,NA,NA,NCBI Prokaryotic Genome Annotation Pipeline (PGAP),5172866,Scaffold,2020-07-19T00:00:00Z,NA,100613,108900,Illumina MiSeq,Universidad Peruana Cayetano Heredia,PRJNA633873,SAMN15515954,5103,4799,191,Escherichia coli,99.12,0.85
GCA_015712535,111,GCA_015712535.1,Escherichia coli,NA,34,NA,NA,NA,NCBI Prokaryotic Genome Annotation Pipeline (PGAP),5031457,Scaffold,2020-12-02T00:00:00Z,NA,107338,130224,Illumina,The Hong Kong Polytechnic University,PRJNA558538,SAMN12495030,5053,4789,186,Escherichia coli,99.22,0.37
GCA_019265445,1,GCA_019265445.1,Escherichia coli,NA,Colony374,NA,NA,NA,NA,4733683,Chromosome,2021-07-18T00:00:00Z,NA,24016,4733683,Illumina HiSeq,Ministry of Public Health-Thailand,PRJNA668870,SAMN17910922,NA,NA,NA,Escherichia coli,98.43,0.2
GCA_014863805,1,GCA_014863805.1,Escherichia coli,NA,AML002_ev02,NA,NA,NA,NA,4631470,Complete Genome,2020-10-08T00:00:00Z,NA,4631470,4631470,Illumina NextSeq,Boston University,PRJNA666010,SAMN16090665,NA,NA,NA,Escherichia coli,99.08,0.15
GCA_019219465,164,GCA_019219465.1,Escherichia coli,NA,YCW26,NA,NA,NA,NCBI Prokaryotic Genome Annotation Pipeline (PGAP),5033407,Scaffold,2021-07-14T00:00:00Z,NA,121934,122094,Illumina HiSeq,SCAU,PRJNA743422,SAMN20033687,5064,4743,209,Escherichia coli,98.26,0.83
GCA_014528075,147,GCA_014528075.1,Escherichia coli,NA,NX-C124,NA,NA,NA,NA,4823572,Scaffold,2020-09-11T00:00:00Z,NA,141597,141597,Illumina HiSeq,China Agricultural University,PRJNA625924,SAMN14611423,NA,NA,NA,Escherichia coli,95.47,0.37
GCA_013424825,203,GCA_013424825.1,Escherichia coli,NA,PE01_363,NA,NA,NA,NCBI Prokaryotic Genome Annotation Pipeline (PGAP),5256919,Scaffold,2020-07-19T00:00:00Z,NA,132206,132206,Illumina MiSeq,Universidad Peruana Cayetano Heredia,PRJNA633873,SAMN15515957,5274,4968,191,Escherichia coli,99.54,0.89
GCA_014235685,122,GCA_014235685.1,Escherichia coli,NA,EcPF5,NA,NA,NA,NCBI Prokaryotic Genome Annotation Pipeline (PGAP),5131891,Scaffold,2020-08-18T00:00:00Z,NA,334530,334530,Illumina NextSeq,University of Maine at Presque Isle,PRJNA649713,SAMN15689503,5029,4767,190,Escherichia coli,99.15,0.41
GCA_013167695,3,GCA_013167695.1,Escherichia coli O157:H7,NA,F7386,NA,NA,NA,NCBI Prokaryotic Genome Annotation Pipeline (PGAP),5557033,Complete Genome,2020-05-26T00:00:00Z,NA,5403105,5403105,PacBio RSII,United State Department of Agriculture,PRJNA528413,SAMN05360162,5675,5284,257,Escherichia coli,99.51,0.26
GCA_014863745,1,GCA_014863745.1,Escherichia coli,NA,AML003_ev01,NA,NA,NA,NA,4631468,Complete Genome,2020-10-08T00:00:00Z,NA,4631468,4631468,Illumina NextSeq,Boston University,PRJNA666010,SAMN16090668,NA,NA,NA,Escherichia coli,99.08,0.15
GCA_016890045,3,GCA_016890045.1,Escherichia coli,NA,FDAARGOS_1265,NA,NA,NA,NCBI Prokaryotic Genome Annotation Pipeline (PGAP),5425278,Complete Genome,2021-02-15T00:00:00Z,NA,5213760,5213760,Pacbio; Illumina,US Food and Drug Administration,PRJNA231221,SAMN16357407,5349,4999,237,Escherichia coli,98.26,0.51
GCA_014862715,171,GCA_014862715.1,Escherichia coli,NA,213J6,NA,NA,NA,NCBI Prokaryotic Genome Annotation Pipeline (PGAP),5325515,Scaffold,2020-10-07T00:00:00Z,NA,164111,183617,Illumina NextSeq,"Faculte de Medecine, Universite Paris-Sud",PRJNA666090,SAMN16279627,5255,4998,181,Escherichia coli,98.72,0.63
GCA_013167615,2,GCA_013167615.1,Escherichia coli O157:H7,NA,F8798,NA,NA,NA,NCBI Prokaryotic Genome Annotation Pipeline (PGAP),5662137,Complete Genome,2020-05-26T00:00:00Z,NA,5569928,5569928,PacBio RSII,United State Department of Agriculture,PRJNA528413,SAMN05360171,5840,5437,267,Escherichia coli,99.5,0.15
GCA_016761335,150,GCA_016761335.1,Escherichia coli,NA,LMLEEc020,NA,NA,NA,NCBI Prokaryotic Genome Annotation Pipeline (PGAP),4963734,Scaffold,2021-01-27T00:00:00Z,NA,89895,119272,Illumina NextSeq,"International Centre for Diarrhoeal Disease Research, Bangladesh",PRJNA654992,SAMN15719865,4841,4578,186,Escherichia coli,98.44,0.56
GCA_014528705,154,GCA_014528705.1,Escherichia coli,NA,SAX-P69,NA,NA,NA,NA,4871879,Scaffold,2020-09-11T00:00:00Z,NA,116718,116718,Illumina HiSeq,China Agricultural University,PRJNA625924,SAMN14611391,NA,NA,NA,Escherichia coli,95.07,0.45
GCA_013423645,71,GCA_013423645.1,Escherichia coli,NA,MVAST5635,NA,NA,NA,NCBI Prokaryotic Genome Annotation Pipeline (PGAP),5198202,Scaffold,2020-07-17T00:00:00Z,NA,177276,195472,Oxford Nanopore Technology; Illumina iSeq,"Virginia commonwealth university, Richmond VA, USA",PRJNA611804,SAMN14348883,5022,4821,113,Escherichia coli,99.32,0.8
GCA_016404405,5,GCA_016404405.2,Escherichia coli,NA,P15-385,NA,NA,NA,NCBI Prokaryotic Genome Annotation Pipeline (PGAP),5194698,Complete Genome,2021-06-09T00:00:00Z,NA,4966561,4966561,Oxford Nanopore MinION,University of Zurich,PRJNA682534,SAMN16993348,5059,4808,123,Escherichia coli,99.17,0.55
GCA_015160315,537,GCA_015160315.1,Escherichia coli,NA,EC_869,NA,NA,NA,NCBI Prokaryotic Genome Annotation Pipeline (PGAP),5446035,Scaffold,2020-10-31T00:00:00Z,NA,101659,105460,Illumina NextSeq,U. S. Food and Drug Administraion/NCTR,PRJNA545531,SAMN16454172,5579,5273,245,Escherichia coli,99.36,0.34
GCA_018310205,97,GCA_018310205.1,Escherichia coli,NA,INF32/16/A,NA,NA,NA,NCBI Prokaryotic Genome Annotation Pipeline (PGAP),5212612,Scaffold,2021-05-08T00:00:00Z,NA,129165,3201741,Illumina MiSeq,Universiti Sains Malaysia,PRJNA726861,SAMN18971244,5084,4771,229,Escherichia coli,97.73,0.82
GCA_019269215,1,GCA_019269215.1,Escherichia coli,NA,Colony487,NA,NA,NA,NA,4733683,Chromosome,2021-07-19T00:00:00Z,NA,30344,4733683,Illumina HiSeq,Ministry of Public Health-Thailand,PRJNA668870,SAMN17771356,NA,NA,NA,Escherichia coli,98.45,0.15
GCA_014169775,3,GCA_014169775.1,Escherichia coli,NA,WP8-S18-ESBL-07,NA,NA,NA,"Annotation submitted by Laboratory of Bacterial Genomics, Pathogen Genomics Center, National Institute of Infectious Diseases",5125148,Complete Genome,2020-07-21T00:00:00Z,NA,4907327,4907327,Sequel; NextSeq 500,"Laboratory of Bacterial Genomics, Pathogen Genomics Center, National Institute of Infectious Diseases",PRJDB6962,SAMD00194629,4882,4774,NA,Escherichia coli,99.07,0.36
